mDM              Log[10,x]              e          \[Mu]          \[Tau]          q          c          b          t          W          Z          g          h
10              0.0000000010593                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000011885                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000013335                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000014962                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000016788                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000018836                0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000021135                0.000013          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000023714                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000026607                0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000029854                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000033497                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000037584                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000042170                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000047315                0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000053088                0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000059566                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000066834                0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000074989                0.000007          0.000020          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000084140                0.000007          0.000027          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000094406                0.000013          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000105930                0.000020          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000118850                0.000013          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000133350                0.000020          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000149620                0.000020          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000167880                0.000020          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000188360                0.000040          0.000053          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000211350                0.000033          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000237140                0.000020          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000266070                0.000033          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000298540                0.000053          0.000047          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000334970                0.000080          0.000040          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000375840                0.000073          0.000047          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000421700                0.000093          0.000033          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000473150                0.000147          0.000053          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000530880                0.001287          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000595660                0.003720          0.000033          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000668340                0.006413          0.000127          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000749890                0.009007          0.000093          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000841400                0.011187          0.000187          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000944060                0.013740          0.000360          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001059300                0.016487          0.005373          0.000027          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001188500                0.019393          0.012293          0.000033          0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001333500                0.021867          0.016140          0.000060          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001496200                0.024340          0.019487          0.000020          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001678800                0.026820          0.023667          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001883600                0.029380          0.026507          0.000047          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000002113500                0.031307          0.028747          0.000073          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002371400                0.033960          0.031467          0.000040          0.000000          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002660700                0.037013          0.034600          0.000047          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002985400                0.039607          0.037347          0.000087          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000003349700                0.042073          0.040640          0.000067          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000003758400                0.045407          0.042133          0.000080          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004217000                0.046993          0.044707          0.001447          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004731500                0.050960          0.046940          0.009487          0.000000          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000005308800                0.052100          0.050507          0.014207          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000005956600                0.056087          0.052953          0.018027          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000006683400                0.057513          0.055727          0.020847          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000007498900                0.061007          0.056440          0.023573          0.000007          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000008414000                0.065007          0.059060          0.025307          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000009440600                0.065253          0.062107          0.027620          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000010593000                0.069867          0.063667          0.030073          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000011885000                0.071440          0.066807          0.031713          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000013335000                0.074840          0.068940          0.033780          0.000000          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000014962000                0.077713          0.071947          0.034747          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000016788000                0.081993          0.073960          0.036400          0.000013          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000018836000                0.087060          0.076980          0.037513          0.000007          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000021135000                0.090420          0.080133          0.038347          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000023714000                0.094673          0.080800          0.038907          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000026607000                0.099527          0.082633          0.039053          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000029854000                0.105240          0.084980          0.040267          0.000013          0.000033          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000033497000                0.116130          0.088780          0.038913          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000037584000                0.131850          0.089507          0.041153          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000042170000                0.140670          0.091260          0.040127          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000047315000                0.144080          0.091587          0.040573          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000053088000                0.142410          0.092867          0.040980          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000059566000                0.147350          0.095447          0.041647          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000066834000                0.148370          0.098533          0.039607          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000074989000                0.152690          0.096973          0.040113          0.000013          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000084140000                0.152590          0.099673          0.042200          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000094406000                0.155700          0.099587          0.040880          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000105930000                0.156670          0.099867          0.040140          0.000007          0.000007          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000118850000                0.159460          0.099827          0.040920          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000133350000                0.160490          0.099913          0.040967          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000149620000                0.163750          0.099693          0.041213          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000167880000                0.166040          0.100870          0.040967          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000188360000                0.167430          0.102030          0.040587          0.000007          0.000007          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000211350000                0.171450          0.101010          0.041767          0.000013          0.000033          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000237140000                0.174130          0.101040          0.041107          0.000007          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000266070000                0.174280          0.101320          0.041320          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000298540000                0.175670          0.100220          0.041500          0.000020          0.000020          0.000033          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000334970000                0.179370          0.101450          0.040987          0.000013          0.000020          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000375840000                0.181050          0.101170          0.040913          0.000007          0.000040          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000421700000                0.181530          0.102830          0.041120          0.000007          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000473150000                0.183270          0.101180          0.040747          0.000033          0.000027          0.000013          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000530880000                0.186550          0.101150          0.040687          0.000020          0.000040          0.000027          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000595660000                0.189770          0.101010          0.041140          0.000013          0.000060          0.000060          0.000000          0.000000          0.000000          0.000047          0.000000
10              0.0000668340000                0.188250          0.102380          0.041933          0.000033          0.000040          0.000027          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000749890000                0.192480          0.100590          0.041320          0.000020          0.000040          0.000013          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000841400000                0.193750          0.100570          0.041233          0.000060          0.000080          0.000080          0.000000          0.000000          0.000000          0.000053          0.000000
10              0.0000944060000                0.194350          0.100430          0.041653          0.000100          0.000073          0.000067          0.000000          0.000000          0.000000          0.000067          0.000000
10              0.0001059300000                0.196960          0.101650          0.041453          0.000180          0.000093          0.000100          0.000000          0.000000          0.000000          0.000100          0.000000
10              0.0001188500000                0.197150          0.101730          0.042827          0.000187          0.000140          0.000200          0.000000          0.000000          0.000000          0.000093          0.000000
10              0.0001333500000                0.201100          0.103110          0.041420          0.000300          0.000200          0.000233          0.000000          0.000000          0.000000          0.000120          0.000000
