mDM              Log[10,x]              e          \[Mu]          \[Tau]          q          c          b          t          W          Z          g          h
10              0.0000000010593                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000011885                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000013335                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000014962                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000016788                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000018836                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000021135                0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000023714                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000026607                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000029854                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000033497                0.000000          0.000000          0.000000          0.000000          0.000003          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000037584                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000042170                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000047315                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000053088                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000059566                0.000000          0.000000          0.000000          0.000007          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000066834                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000074989                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000010          0.000000
10              0.0000000084140                0.000000          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000094406                0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000105930                0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000118850                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000133350                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000010          0.000000
10              0.0000000149620                0.000000          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000000167880                0.000000          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000188360                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000023          0.000000
10              0.0000000211350                0.000000          0.000000          0.000000          0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000237140                0.000000          0.000000          0.000000          0.000003          0.000003          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000266070                0.000000          0.000000          0.000000          0.000007          0.000003          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000298540                0.000000          0.000000          0.000000          0.000007          0.000013          0.000003          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000334970                0.000000          0.000000          0.000000          0.000010          0.000017          0.000007          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000000375840                0.000000          0.000000          0.000000          0.000007          0.000003          0.000007          0.000000          0.000000          0.000000          0.000017          0.000000
10              0.0000000421700                0.000000          0.000000          0.000000          0.000017          0.000010          0.000003          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000000473150                0.000000          0.000000          0.000000          0.000020          0.000020          0.000007          0.000000          0.000000          0.000000          0.000027          0.000000
10              0.0000000530880                0.000000          0.000000          0.000000          0.000023          0.000000          0.000003          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000000595660                0.000000          0.000000          0.000000          0.000023          0.000017          0.000017          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000000668340                0.000000          0.000000          0.000000          0.000020          0.000020          0.000007          0.000000          0.000000          0.000000          0.000043          0.000000
10              0.0000000749890                0.000000          0.000000          0.000000          0.000023          0.000017          0.000010          0.000000          0.000000          0.000000          0.000073          0.000000
10              0.0000000841400                0.000000          0.000000          0.000000          0.000027          0.000023          0.000027          0.000000          0.000000          0.000000          0.000073          0.000000
10              0.0000000944060                0.000000          0.000000          0.000000          0.000040          0.000023          0.000020          0.000000          0.000000          0.000000          0.000093          0.000000
10              0.0000001059300                0.000000          0.000000          0.000000          0.000050          0.000043          0.000033          0.000000          0.000000          0.000000          0.000130          0.000000
10              0.0000001188500                0.000000          0.000000          0.000000          0.000060          0.000030          0.000007          0.000000          0.000000          0.000000          0.000120          0.000000
10              0.0000001333500                0.000000          0.000000          0.000000          0.000080          0.000037          0.000027          0.000000          0.000000          0.000000          0.000093          0.000000
10              0.0000001496200                0.000000          0.000003          0.000000          0.000103          0.000067          0.000030          0.000000          0.000000          0.000000          0.000213          0.000000
10              0.0000001678800                0.000000          0.000000          0.000000          0.000103          0.000083          0.000067          0.000000          0.000000          0.000000          0.000200          0.000000
10              0.0000001883600                0.000000          0.000000          0.000000          0.000117          0.000127          0.000073          0.000000          0.000000          0.000000          0.000263          0.000000
10              0.0000002113500                0.000000          0.000000          0.000000          0.000110          0.000123          0.000097          0.000000          0.000000          0.000000          0.000267          0.000000
10              0.0000002371400                0.000000          0.000003          0.000000          0.000147          0.000137          0.000080          0.000000          0.000000          0.000000          0.000393          0.000000
10              0.0000002660700                0.000000          0.000000          0.000003          0.000220          0.000137          0.000110          0.000000          0.000000          0.000000          0.000430          0.000000
10              0.0000002985400                0.000000          0.000000          0.000000          0.000263          0.000233          0.000170          0.000000          0.000000          0.000000          0.000480          0.000000
10              0.0000003349700                0.000000          0.000000          0.000000          0.000307          0.000263          0.000157          0.000000          0.000000          0.000000          0.000550          0.000000
10              0.0000003758400                0.000000          0.000000          0.000000          0.000290          0.000240          0.000153          0.000000          0.000000          0.000000          0.000720          0.000000
10              0.0000004217000                0.000000          0.000000          0.000000          0.000413          0.000300          0.000243          0.000000          0.000000          0.000000          0.000810          0.000000
10              0.0000004731500                0.000000          0.000000          0.000000          0.000487          0.000373          0.000293          0.000000          0.000000          0.000000          0.000960          0.000000
10              0.0000005308800                0.000000          0.000000          0.000003          0.000483          0.000457          0.000320          0.000000          0.000000          0.000000          0.001187          0.000000
10              0.0000005956600                0.000000          0.000003          0.000000          0.000633          0.000607          0.000363          0.000000          0.000000          0.000000          0.001380          0.000000
10              0.0000006683400                0.000000          0.000000          0.000000          0.000780          0.000617          0.000443          0.000000          0.000000          0.000000          0.001680          0.000000
10              0.0000007498900                0.000000          0.000000          0.000000          0.000847          0.000840          0.000657          0.000000          0.000000          0.000000          0.002003          0.000000
10              0.0000008414000                0.000000          0.000000          0.000000          0.001163          0.000920          0.000760          0.000000          0.000000          0.000000          0.002453          0.000000
10              0.0000009440600                0.000000          0.000000          0.000003          0.001310          0.001087          0.000777          0.000000          0.000000          0.000000          0.002807          0.000000
10              0.0000010593000                0.000000          0.000003          0.000000          0.001657          0.001307          0.000937          0.000000          0.000000          0.000000          0.003323          0.000000
10              0.0000011885000                0.000000          0.000000          0.000000          0.001963          0.001570          0.001130          0.000000          0.000000          0.000000          0.003853          0.000000
10              0.0000013335000                0.000000          0.000000          0.000000          0.002020          0.001833          0.001287          0.000000          0.000000          0.000000          0.004500          0.000000
10              0.0000014962000                0.000000          0.000007          0.000007          0.002683          0.002187          0.001633          0.000000          0.000000          0.000000          0.005500          0.000000
10              0.0000016788000                0.000000          0.000000          0.000003          0.003260          0.002627          0.001943          0.000000          0.000000          0.000000          0.006370          0.000000
10              0.0000018836000                0.000000          0.000003          0.000010          0.003710          0.003143          0.002127          0.000000          0.000000          0.000000          0.007380          0.000000
10              0.0000021135000                0.000003          0.000000          0.000000          0.004673          0.003613          0.002497          0.000000          0.000000          0.000000          0.008983          0.000000
10              0.0000023714000                0.000000          0.000000          0.000003          0.005183          0.004297          0.002930          0.000000          0.000000          0.000000          0.010650          0.000000
10              0.0000026607000                0.000000          0.000013          0.000000          0.006183          0.005087          0.003530          0.000000          0.000000          0.000000          0.012627          0.000000
10              0.0000029854000                0.000000          0.000020          0.000007          0.006987          0.006040          0.004150          0.000000          0.000000          0.000000          0.014997          0.000000
10              0.0000033497000                0.000000          0.000020          0.000010          0.008230          0.006957          0.005007          0.000000          0.000000          0.000000          0.017010          0.000000
10              0.0000037584000                0.000000          0.000017          0.000023          0.010433          0.008303          0.005737          0.000000          0.000000          0.000000          0.020813          0.000000
10              0.0000042170000                0.000000          0.000003          0.000010          0.011487          0.010043          0.007023          0.000000          0.000000          0.000000          0.024567          0.000000
10              0.0000047315000                0.000003          0.000003          0.000017          0.013910          0.011957          0.008327          0.000000          0.000000          0.000000          0.028833          0.000000
10              0.0000053088000                0.000000          0.000017          0.000013          0.016383          0.013697          0.009417          0.000000          0.000000          0.000000          0.033290          0.000000
10              0.0000059566000                0.000000          0.000020          0.000017          0.019263          0.016153          0.011393          0.000000          0.000000          0.000000          0.039197          0.000000
10              0.0000066834000                0.000000          0.000027          0.000027          0.022617          0.018233          0.013063          0.000000          0.000000          0.000000          0.046060          0.000000
10              0.0000074989000                0.000003          0.000010          0.000030          0.026473          0.021703          0.015080          0.000000          0.000000          0.000000          0.054240          0.000000
10              0.0000084140000                0.000000          0.000010          0.000033          0.030573          0.025207          0.017933          0.000000          0.000000          0.000000          0.063040          0.000000
10              0.0000094406000                0.000000          0.000027          0.000037          0.035313          0.029500          0.021187          0.000000          0.000000          0.000000          0.073007          0.000000
10              0.0000105930000                0.000003          0.000020          0.000037          0.041433          0.034433          0.023490          0.000000          0.000000          0.000000          0.084837          0.000000
10              0.0000118850000                0.000000          0.000040          0.000060          0.048647          0.039833          0.027960          0.000000          0.000000          0.000000          0.096857          0.000000
10              0.0000133350000                0.000003          0.000020          0.000067          0.055777          0.045963          0.031337          0.000000          0.000000          0.000000          0.112330          0.000000
10              0.0000149620000                0.000017          0.000040          0.000073          0.064930          0.053363          0.036650          0.000000          0.000000          0.000000          0.130040          0.000000
10              0.0000167880000                0.000000          0.000077          0.000100          0.073600          0.059367          0.042300          0.000000          0.000000          0.000000          0.147980          0.000000
10              0.0000188360000                0.000003          0.000053          0.000127          0.084853          0.068737          0.048097          0.000000          0.000000          0.000000          0.168600          0.000000
10              0.0000211350000                0.000010          0.000073          0.000133          0.095957          0.076837          0.054040          0.000000          0.000000          0.000000          0.189830          0.000000
10              0.0000237140000                0.000020          0.000120          0.000123          0.107920          0.086687          0.061503          0.000000          0.000000          0.000000          0.214420          0.000000
10              0.0000266070000                0.000013          0.000097          0.000200          0.120280          0.097880          0.069590          0.000000          0.000000          0.000000          0.241450          0.000000
10              0.0000298540000                0.000020          0.000123          0.000173          0.135080          0.108760          0.076727          0.000000          0.000000          0.000000          0.267050          0.000000
10              0.0000334970000                0.000013          0.000130          0.000297          0.147990          0.120100          0.085843          0.000000          0.000000          0.000000          0.293170          0.000000
10              0.0000375840000                0.000010          0.000167          0.000323          0.162800          0.131830          0.093990          0.000000          0.000000          0.000000          0.319780          0.000000
10              0.0000421700000                0.000043          0.000163          0.000377          0.176100          0.140960          0.101930          0.000000          0.000000          0.000000          0.343830          0.000000
10              0.0000473150000                0.000033          0.000240          0.000453          0.192420          0.148540          0.110940          0.000000          0.000000          0.000000          0.369350          0.000000
10              0.0000530880000                0.000047          0.000257          0.000573          0.203710          0.156790          0.118190          0.000000          0.000000          0.000000          0.389820          0.000000
10              0.0000595660000                0.000037          0.000273          0.000750          0.215590          0.163530          0.125770          0.000000          0.000000          0.000000          0.406120          0.000000
10              0.0000668340000                0.000073          0.000350          0.000873          0.225200          0.168630          0.131130          0.000000          0.000000          0.000000          0.418510          0.000000
10              0.0000749890000                0.000060          0.000323          0.000953          0.231010          0.171330          0.136350          0.000000          0.000000          0.000000          0.424450          0.000000
10              0.0000841400000                0.000033          0.000373          0.001240          0.235110          0.171170          0.139780          0.000000          0.000000          0.000000          0.423810          0.000000
10              0.0000944060000                0.000050          0.000493          0.001423          0.236570          0.168650          0.139970          0.000000          0.000000          0.000000          0.417400          0.000000
10              0.0001059300000                0.000090          0.000507          0.001657          0.234240          0.164430          0.140930          0.000000          0.000000          0.000000          0.403520          0.000000
10              0.0001188500000                0.000087          0.000537          0.002153          0.232060          0.157090          0.137300          0.000000          0.000000          0.000000          0.385520          0.000000
10              0.0001333500000                0.000123          0.000653          0.002483          0.224330          0.148370          0.134010          0.000000          0.000000          0.000000          0.359740          0.000000
