mDM              Log[10,x]              e          \[Mu]          \[Tau]          q          c          b          t          W          Z          g          h
10              0.0000000010593                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000011885                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000013335                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000014962                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000016788                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000018836                0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000021135                0.000013          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000023714                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000026607                0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000029854                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000033497                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000037584                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000042170                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000047315                0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000053088                0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000059566                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000066834                0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000074989                0.000007          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000084140                0.000007          0.000027          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000094406                0.000013          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000105930                0.000020          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000118850                0.000013          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000133350                0.000020          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000149620                0.000020          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000167880                0.000020          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000188360                0.000040          0.000053          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000211350                0.000033          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000237140                0.000020          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000266070                0.000033          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000298540                0.000053          0.000047          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000334970                0.000080          0.000040          0.000033          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000375840                0.000073          0.000047          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000421700                0.000093          0.000033          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000473150                0.000147          0.000053          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000530880                0.001287          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000595660                0.003720          0.000033          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000668340                0.006413          0.000127          0.000013          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000749890                0.009007          0.000093          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000841400                0.011187          0.000187          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000944060                0.013740          0.000360          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001059300                0.016493          0.005373          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001188500                0.019393          0.012300          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001333500                0.021880          0.016140          0.000060          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001496200                0.024333          0.019487          0.000020          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001678800                0.026813          0.023667          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001883600                0.029380          0.026507          0.000047          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000002113500                0.031300          0.028747          0.000073          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002371400                0.033960          0.031460          0.000040          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002660700                0.037013          0.034600          0.000047          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002985400                0.039607          0.037347          0.000087          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000003349700                0.042073          0.040640          0.000067          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000003758400                0.045407          0.042127          0.000080          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004217000                0.046993          0.044720          0.001440          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004731500                0.050960          0.046947          0.009480          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000005308800                0.052107          0.050500          0.014207          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000005956600                0.056087          0.052960          0.018027          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000006683400                0.057513          0.055727          0.020860          0.000000          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000007498900                0.061007          0.056440          0.023560          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000008414000                0.065013          0.059073          0.025293          0.000000          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000009440600                0.065240          0.062107          0.027607          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000010593000                0.069873          0.063673          0.030080          0.000007          0.000027          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000011885000                0.071440          0.066813          0.031707          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000013335000                0.074840          0.068940          0.033793          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000014962000                0.077713          0.071947          0.034753          0.000033          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000016788000                0.081987          0.073967          0.036393          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000018836000                0.087067          0.076980          0.037520          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000021135000                0.090413          0.080133          0.038360          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000023714000                0.094673          0.080793          0.038907          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000026607000                0.099527          0.082647          0.039060          0.000000          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000029854000                0.105250          0.084987          0.040267          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000033497000                0.116130          0.088780          0.038907          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000037584000                0.131840          0.089500          0.041167          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000042170000                0.140660          0.091273          0.040147          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000047315000                0.144080          0.091600          0.040567          0.000007          0.000027          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000053088000                0.142420          0.092880          0.041000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000059566000                0.147350          0.095453          0.041653          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000066834000                0.148370          0.098520          0.039607          0.000000          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000074989000                0.152680          0.096973          0.040120          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000084140000                0.152570          0.099673          0.042207          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000094406000                0.155690          0.099593          0.040873          0.000007          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000105930000                0.156660          0.099867          0.040160          0.000020          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000118850000                0.159460          0.099840          0.040907          0.000013          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000133350000                0.160490          0.099913          0.040967          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000149620000                0.163730          0.099700          0.041213          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000167880000                0.166050          0.100860          0.040973          0.000000          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000188360000                0.167430          0.102030          0.040573          0.000013          0.000007          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000211350000                0.171430          0.101010          0.041780          0.000007          0.000027          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000237140000                0.174150          0.101030          0.041100          0.000013          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000266070000                0.174290          0.101310          0.041313          0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000298540000                0.175670          0.100250          0.041493          0.000013          0.000007          0.000007          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000334970000                0.179410          0.101450          0.040973          0.000007          0.000013          0.000013          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000375840000                0.181040          0.101170          0.040927          0.000000          0.000020          0.000033          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000421700000                0.181550          0.102830          0.041100          0.000000          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000473150000                0.183260          0.101210          0.040740          0.000007          0.000047          0.000020          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000530880000                0.186550          0.101150          0.040700          0.000027          0.000013          0.000033          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000595660000                0.189790          0.101010          0.041153          0.000027          0.000047          0.000013          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000668340000                0.188250          0.102370          0.041933          0.000027          0.000033          0.000033          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000749890000                0.192480          0.100590          0.041327          0.000027          0.000067          0.000073          0.000000          0.000000          0.000000          0.000027          0.000000
10              0.0000841400000                0.193740          0.100570          0.041240          0.000060          0.000093          0.000093          0.000000          0.000000          0.000000          0.000033          0.000000
10              0.0000944060000                0.194350          0.100430          0.041633          0.000067          0.000060          0.000053          0.000000          0.000000          0.000000          0.000067          0.000000
10              0.0001059300000                0.196980          0.101650          0.041467          0.000147          0.000133          0.000093          0.000000          0.000000          0.000000          0.000080          0.000000
10              0.0001188500000                0.197150          0.101730          0.042800          0.000213          0.000160          0.000153          0.000000          0.000000          0.000000          0.000100          0.000000
10              0.0001333500000                0.201110          0.103110          0.041427          0.000293          0.000220          0.000233          0.000000          0.000000          0.000000          0.000153          0.000000
